# Windows Server 2019

Name                                                                                                                     Value
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Tracing                                                          (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowDefaultCredentialsDomain             (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\CentralizedAccessPolicies                                        (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\ComponentUpdates\SecurityInstallationProvider                    (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Audit                                                            (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\DPL                                                              (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowFreshCredentialsDomain               (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowFreshCredentials                     (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\SspiCache                                                        (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\ComponentUpdates\SecurityInstallationProvider\S-1-5-19           (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Audit\PerUserAuditing                                            (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowFreshCredentialsWhenNTLMOnlyDomain   (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\ComponentUpdates                                                 (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\CentralizedAccessPolicies\CAPEs                                  (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\FsctlAllowlist                              (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowSavedCredentialsWhenNTLMOnly         (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowSavedCredentialsDomain               (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp                                                          (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Kerberos                                                         (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Credssp\PolicyDefaults\AllowSavedCredentials                     (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Kerberos\HostToRealm                                             (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0                                                           (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Audit\PerUserAuditing\System                                     (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\OfflineLSA\DBOptions                                             (A;ID;KR;;;AU)(A;CIIOID;GR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa                                                                  (A;CIIO;GR;;;AU)(A;;KR;;;AU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols                                 (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\CipherSuites                              (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Kdc\Parameters                                                      (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Ciphers                                   (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Hashes                                    (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Kdc\Security                                                        (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\KeyExchangeAlgorithms                     (A;CIID;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Kdc                                                                 (A;CI;KR;;;BU)
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL                                           (A;CI;KR;;;BU)
